"cost","degree","error","dispersion"
0.001,2,0.498659862214386,0.411275635324061
0.005,2,0.267103684583644,0.329973038671106
0.01,2,0.267103684583644,0.329973038671106
0.05,2,0.342871684874484,0.37630755365709
0.1,2,0.810236216894189,0.249417474854589
0.5,2,0.266763310490248,0.329207858219391
1,2,0.251984833887748,0.30024972949753
3,2,0.277892498136804,0.273341714855871
0.001,3,0.890039172559213,0.0107560437118392
0.005,3,0.186221438569066,0.244669236083803
0.01,3,0.186344591278425,0.244619804638126
0.05,3,0.186344591278425,0.244619804638126
0.1,3,0.186344591278425,0.244619804638126
0.5,3,0.266886917637649,0.322925562406249
1,3,0.215853525530329,0.123681556164719
3,3,0.22029293076182,0.0249718316782918
0.001,4,0.186344591278425,0.244619804638126
0.005,4,0.186344591278425,0.244619804638126
0.01,4,0.186344591278425,0.244619804638126
0.05,4,0.110206829900811,0.0109726835371383
0.1,4,0.111191900096341,0.00973170103990405
0.5,4,0.630188773562612,0.345675712076297
1,4,0.851002187361775,0.0172144640233866
3,4,0.195904452886893,0.107925578306083
