"cost","gamma","error","dispersion"
0.001,0.001,0.498659862214386,0.411275635324061
0.005,0.001,0.267103684583644,0.329973038671106
0.01,0.001,0.267103684583644,0.329973038671106
0.05,0.001,0.109960827440787,0.0107560437118392
0.1,0.001,0.109960827440787,0.0107560437118392
0.5,0.001,0.345921418573792,0.377851337764031
1,0.001,0.345921418573792,0.377851337764031
3,0.001,0.7370544234999,0.326666462004194
5,0.001,0.499891389307982,0.411278045397097
10,0.001,0.499891389307982,0.411278045397097
0.001,0.01,0.498659862214386,0.411275635324061
0.005,0.01,0.267103684583644,0.329973038671106
0.01,0.01,0.267103684583644,0.329973038671106
0.05,0.01,0.109960827440787,0.0107560437118392
0.1,0.01,0.109960827440787,0.0107560437118392
0.5,0.01,0.345921418573792,0.377851337764031
1,0.01,0.345921418573792,0.377851337764031
3,0.01,0.7370544234999,0.326666462004194
5,0.01,0.499891389307982,0.411278045397097
10,0.01,0.477731172631923,0.372376756725114
0.001,0.1,0.498659862214386,0.411275635324061
0.005,0.1,0.267103684583644,0.329973038671106
0.01,0.1,0.267103684583644,0.329973038671106
0.05,0.1,0.109960827440787,0.0107560437118392
0.1,0.1,0.109960827440787,0.0107560437118392
0.5,0.1,0.345921418573792,0.377851337764031
1,0.1,0.345921418573792,0.377851337764031
3,0.1,0.614146807724235,0.249976438699696
5,0.1,0.32668505625943,0.0152211071855933
10,0.1,0.306738710244245,0.0177722187092661
0.001,1,0.498659862214386,0.411275635324061
0.005,1,0.267103684583644,0.329973038671106
0.01,1,0.267103684583644,0.329973038671106
0.05,1,0.109960827440787,0.0107560437118392
0.1,1,0.109960827440787,0.0107560437118392
0.5,1,0.345921418573792,0.377851337764031
1,1,0.345921418573792,0.377851337764031
3,1,0.7370544234999,0.326666462004194
5,1,0.499891389307982,0.411278045397097
10,1,0.240857766952054,0.0162065879989572
0.001,10,0.498659862214386,0.411275635324061
0.005,10,0.267103684583644,0.329973038671106
0.01,10,0.267103684583644,0.329973038671106
0.05,10,0.109960827440787,0.0107560437118392
0.1,10,0.109960827440787,0.0107560437118392
0.5,10,0.345921418573792,0.377851337764031
1,10,0.345921418573792,0.377851337764031
3,10,0.7370544234999,0.326666462004194
5,10,0.420088433642957,0.40255961728494
10,10,0.420088433642957,0.40255961728494
0.001,100,0.498659862214386,0.411275635324061
0.005,100,0.267103684583644,0.329973038671106
0.01,100,0.267103684583644,0.329973038671106
0.05,100,0.109960827440787,0.0107560437118392
0.1,100,0.109960827440787,0.0107560437118392
0.5,100,0.345921418573792,0.377851337764031
1,100,0.345921418573792,0.377851337764031
3,100,0.7370544234999,0.326666462004194
5,100,0.420088433642957,0.40255961728494
10,100,0.420088433642957,0.40255961728494
